[2025-04-08T08:06:05.401+0000] {bronze.py:20} INFO - Página 56 retornou 50 registros.
[2025-04-08T08:06:05.405+0000] {bronze.py:20} INFO - Página 57 retornou 50 registros.
[2025-04-08T08:06:05.420+0000] {bronze.py:20} INFO - Página 55 retornou 50 registros.
[2025-04-08T08:06:05.451+0000] {bronze.py:20} INFO - Página 54 retornou 50 registros.
[2025-04-08T08:06:06.357+0000] {bronze.py:20} INFO - Página 60 retornou 50 registros.
[2025-04-08T08:06:06.394+0000] {bronze.py:20} INFO - Página 58 retornou 50 registros.
[2025-04-08T08:06:06.397+0000] {bronze.py:20} INFO - Página 61 retornou 50 registros.
[2025-04-08T08:06:06.399+0000] {bronze.py:20} INFO - Página 59 retornou 50 registros.
[2025-04-08T08:06:06.401+0000] {bronze.py:20} INFO - Página 63 retornou 50 registros.
[2025-04-08T08:06:06.565+0000] {bronze.py:20} INFO - Página 67 retornou 50 registros.
[2025-04-08T08:06:06.567+0000] {bronze.py:20} INFO - Página 64 retornou 50 registros.
[2025-04-08T08:06:06.576+0000] {bronze.py:20} INFO - Página 66 retornou 50 registros.
[2025-04-08T08:06:06.648+0000] {bronze.py:20} INFO - Página 62 retornou 50 registros.
[2025-04-08T08:06:06.719+0000] {bronze.py:20} INFO - Página 65 retornou 50 registros.
[2025-04-08T08:06:07.218+0000] {bronze.py:20} INFO - Página 68 retornou 50 registros.
[2025-04-08T08:06:07.356+0000] {bronze.py:20} INFO - Página 69 retornou 50 registros.
[2025-04-08T08:06:07.556+0000] {bronze.py:20} INFO - Página 71 retornou 50 registros.
[2025-04-08T08:06:07.652+0000] {bronze.py:20} INFO - Página 70 retornou 50 registros.
[2025-04-08T08:06:07.740+0000] {bronze.py:20} INFO - Página 72 retornou 50 registros.
[2025-04-08T08:06:07.742+0000] {bronze.py:20} INFO - Página 74 retornou 50 registros.
[2025-04-08T08:06:07.781+0000] {bronze.py:20} INFO - Página 73 retornou 50 registros.
[2025-04-08T08:06:07.787+0000] {bronze.py:20} INFO - Página 76 retornou 50 registros.
[2025-04-08T08:06:07.849+0000] {bronze.py:20} INFO - Página 77 retornou 50 registros.
[2025-04-08T08:06:07.857+0000] {bronze.py:20} INFO - Página 75 retornou 50 registros.
[2025-04-08T08:06:08.297+0000] {bronze.py:20} INFO - Página 79 retornou 50 registros.
[2025-04-08T08:06:08.325+0000] {bronze.py:20} INFO - Página 78 retornou 50 registros.
[2025-04-08T08:06:08.613+0000] {bronze.py:20} INFO - Página 81 retornou 50 registros.
[2025-04-08T08:06:08.624+0000] {bronze.py:20} INFO - Página 80 retornou 50 registros.
[2025-04-08T08:06:08.625+0000] {bronze.py:20} INFO - Página 83 retornou 50 registros.
[2025-04-08T08:06:08.661+0000] {bronze.py:20} INFO - Página 87 retornou 50 registros.
[2025-04-08T08:06:08.664+0000] {bronze.py:20} INFO - Página 85 retornou 50 registros.
[2025-04-08T08:06:08.742+0000] {bronze.py:20} INFO - Página 86 retornou 50 registros.
[2025-04-08T08:06:08.790+0000] {bronze.py:20} INFO - Página 82 retornou 50 registros.
[2025-04-08T08:06:08.817+0000] {bronze.py:20} INFO - Página 84 retornou 50 registros.
[2025-04-08T08:06:09.226+0000] {bronze.py:20} INFO - Página 89 retornou 50 registros.
[2025-04-08T08:06:09.277+0000] {bronze.py:20} INFO - Página 88 retornou 50 registros.
[2025-04-08T08:06:09.550+0000] {bronze.py:20} INFO - Página 90 retornou 50 registros.
[2025-04-08T08:06:09.562+0000] {bronze.py:20} INFO - Página 92 retornou 50 registros.
[2025-04-08T08:06:09.573+0000] {bronze.py:20} INFO - Página 91 retornou 50 registros.
[2025-04-08T08:06:09.581+0000] {bronze.py:20} INFO - Página 93 retornou 50 registros.
[2025-04-08T08:06:09.721+0000] {bronze.py:20} INFO - Página 94 retornou 50 registros.
[2025-04-08T08:06:09.834+0000] {bronze.py:20} INFO - Página 97 retornou 50 registros.
[2025-04-08T08:06:09.841+0000] {bronze.py:20} INFO - Página 95 retornou 50 registros.
[2025-04-08T08:06:09.840+0000] {bronze.py:20} INFO - Página 96 retornou 50 registros.
[2025-04-08T08:06:09.918+0000] {bronze.py:20} INFO - Página 98 retornou 50 registros.
