[2025-04-08T10:19:45.644+0000] {bronze.py:20} INFO - Página 137 retornou 50 registros.
[2025-04-08T10:19:46.223+0000] {bronze.py:20} INFO - Página 138 retornou 50 registros.
[2025-04-08T10:19:46.625+0000] {bronze.py:20} INFO - Página 139 retornou 50 registros.
[2025-04-08T10:19:47.046+0000] {bronze.py:20} INFO - Página 140 retornou 50 registros.
[2025-04-08T10:19:47.674+0000] {bronze.py:20} INFO - Página 141 retornou 50 registros.
[2025-04-08T10:19:48.060+0000] {bronze.py:20} INFO - Página 142 retornou 50 registros.
[2025-04-08T10:19:48.566+0000] {bronze.py:20} INFO - Página 143 retornou 50 registros.
[2025-04-08T10:19:49.048+0000] {bronze.py:20} INFO - Página 144 retornou 50 registros.
[2025-04-08T10:19:49.478+0000] {bronze.py:20} INFO - Página 145 retornou 50 registros.
[2025-04-08T10:19:49.880+0000] {bronze.py:20} INFO - Página 146 retornou 50 registros.
[2025-04-08T10:19:50.415+0000] {bronze.py:20} INFO - Página 147 retornou 50 registros.
[2025-04-08T10:19:50.837+0000] {bronze.py:20} INFO - Página 148 retornou 50 registros.
[2025-04-08T10:19:51.237+0000] {bronze.py:20} INFO - Página 149 retornou 50 registros.
[2025-04-08T10:19:51.671+0000] {bronze.py:20} INFO - Página 150 retornou 50 registros.
[2025-04-08T10:19:52.087+0000] {bronze.py:20} INFO - Página 151 retornou 50 registros.
[2025-04-08T10:19:52.564+0000] {bronze.py:20} INFO - Página 152 retornou 50 registros.
[2025-04-08T10:19:52.958+0000] {bronze.py:20} INFO - Página 153 retornou 50 registros.
[2025-04-08T10:19:53.577+0000] {bronze.py:20} INFO - Página 154 retornou 50 registros.
[2025-04-08T10:19:54.438+0000] {bronze.py:20} INFO - Página 155 retornou 50 registros.
[2025-04-08T10:19:55.008+0000] {bronze.py:20} INFO - Página 156 retornou 50 registros.
[2025-04-08T10:19:55.535+0000] {bronze.py:20} INFO - Página 157 retornou 50 registros.
[2025-04-08T10:19:55.991+0000] {bronze.py:20} INFO - Página 158 retornou 50 registros.
[2025-04-08T10:19:56.536+0000] {bronze.py:20} INFO - Página 159 retornou 50 registros.
[2025-04-08T10:19:57.055+0000] {bronze.py:20} INFO - Página 160 retornou 50 registros.
[2025-04-08T10:19:57.900+0000] {bronze.py:20} INFO - Página 161 retornou 50 registros.
[2025-04-08T10:19:58.343+0000] {bronze.py:20} INFO - Página 162 retornou 50 registros.
[2025-04-08T10:19:58.764+0000] {bronze.py:20} INFO - Página 163 retornou 50 registros.
[2025-04-08T10:19:59.198+0000] {bronze.py:20} INFO - Página 164 retornou 50 registros.
[2025-04-08T10:19:59.627+0000] {bronze.py:20} INFO - Página 165 retornou 50 registros.
[2025-04-08T10:20:00.051+0000] {bronze.py:20} INFO - Página 166 retornou 50 registros.
[2025-04-08T10:20:00.592+0000] {bronze.py:20} INFO - Página 167 retornou 50 registros.
[2025-04-08T10:20:01.149+0000] {bronze.py:20} INFO - Página 168 retornou 19 registros.
[2025-04-08T10:20:01.585+0000] {bronze.py:20} INFO - Página 169 retornou 0 registros.
[2025-04-08T10:20:01.587+0000] {bronze.py:38} INFO - Total de páginas com dados: 168
[2025-04-08T10:20:02.645+0000] {bronze.py:20} INFO - Página 2 retornou 50 registros.
